time,temperature_2m (?C),relativehumidity_2m (%),rain (mm),weathercode (wmo code)
2015-01-01T00:00,24.3,93,0,2
2015-01-01T01:00,24.1,94,0,2
2015-01-01T02:00,23.7,96,0,2
2015-01-01T03:00,23.3,97,0,1
2015-01-01T04:00,23.2,96,0,1
2015-01-01T05:00,22.9,97,0,1
2015-01-01T06:00,22.9,96,0,1
2015-01-01T07:00,22.6,97,0,1
2015-01-01T08:00,22.9,96,0,2
2015-01-01T09:00,24.5,92,0,2
2015-01-01T10:00,26.2,81,0,2
2015-01-01T11:00,27.1,76,0,2
2015-01-01T12:00,27.9,72,0,2
2015-01-01T13:00,28.3,69,0,2
2015-01-01T14:00,28.9,68,0,2
2015-01-01T15:00,29,69,0,2
2015-01-01T16:00,29.2,69,0,1
2015-01-01T17:00,29.1,69,0,1
2015-01-01T18:00,28.9,68,0,3
2015-01-01T19:00,27.3,78,1.1,53
2015-01-01T20:00,25.8,85,1.2,53
2015-01-01T21:00,24.8,92,2,61
2015-01-01T22:00,24.4,95,0.8,53
2015-01-01T23:00,24,97,0,2
2015-01-02T00:00,23.8,98,0,2
2015-01-02T01:00,23.6,99,0,1
2015-01-02T02:00,23.6,99,0,3
2015-01-02T03:00,24,96,0,2
2015-01-02T04:00,23.5,97,0,2
2015-01-02T05:00,23.1,97,0,2
2015-01-02T06:00,22.8,98,0,2
2015-01-02T07:00,22.7,97,0,1
2015-01-02T08:00,23,96,0,1
2015-01-02T09:00,24.8,89,0,1
2015-01-02T10:00,26.4,78,0,1
2015-01-02T11:00,27.4,72,0,1
2015-01-02T12:00,28,69,0,2
2015-01-02T13:00,28.7,66,0,2
2015-01-02T14:00,29.1,64,0,3
2015-01-02T15:00,28.6,67,0,3
2015-01-02T16:00,27.9,71,0,2
2015-01-02T17:00,27.4,74,0,2
2015-01-02T18:00,27.1,76,0,2
2015-01-02T19:00,26.5,81,0.4,51
2015-01-02T20:00,25.9,86,0,3
2015-01-02T21:00,25.7,86,0,2
2015-01-02T22:00,24.9,88,0.6,53
2015-01-02T23:00,24.5,92,0.1,51
2015-01-03T00:00,24.3,92,0,2
2015-01-03T01:00,24.1,93,0,1
2015-01-03T02:00,23.8,94,0,1
2015-01-03T03:00,23.1,97,0,1
2015-01-03T04:00,23,97,0,2
2015-01-03T05:00,22.7,97,0.2,51
2015-01-03T06:00,22.5,98,0,1
2015-01-03T07:00,22.3,98,0,1
2015-01-03T08:00,22.5,98,0,2
2015-01-03T09:00,24.7,91,0,1
2015-01-03T10:00,25.7,84,0,1
2015-01-03T11:00,26.9,77,0,0
2015-01-03T12:00,28,71,0,1
2015-01-03T13:00,28.8,68,0.1,51
2015-01-03T14:00,29.1,66,0,2
2015-01-03T15:00,29.3,67,0,2
2015-01-03T16:00,29.3,68,0,1
2015-01-03T17:00,28.3,72,0.1,51
2015-01-03T18:00,27.5,75,0.4,51
2015-01-03T19:00,26.6,81,0.1,51
2015-01-03T20:00,25.9,88,0,3
2015-01-03T21:00,25.6,87,0,3
2015-01-03T22:00,25.3,90,0,3
2015-01-03T23:00,24.8,93,0,3
2015-01-04T00:00,24.6,94,0,2
2015-01-04T01:00,24.3,95,0,2
2015-01-04T02:00,24,96,0,3
2015-01-04T03:00,23.2,99,0,3
2015-01-04T04:00,23,99,0,3
2015-01-04T05:00,22.9,99,0,3
2015-01-04T06:00,22.6,99,0,1
2015-01-04T07:00,22.4,99,0,2
2015-01-04T08:00,22.5,98,0,3
2015-01-04T09:00,24.3,97,0,3
2015-01-04T10:00,25.9,88,0,2
2015-01-04T11:00,27.1,80,0,2
2015-01-04T12:00,27.8,74,0,2
2015-01-04T13:00,28.4,70,0,2
2015-01-04T14:00,28.8,68,0,2
2015-01-04T15:00,29.1,67,0.2,51
2015-01-04T16:00,29.1,67,0.2,51
2015-01-04T17:00,28.8,68,0,2
2015-01-04T18:00,28.2,73,0,2
2015-01-04T19:00,27.3,81,0,1
2015-01-04T20:00,26.5,85,0,1
2015-01-04T21:00,25.9,90,0,1
2015-01-04T22:00,25.2,93,0,1
2015-01-04T23:00,24.6,92,0.5,53
2015-01-05T00:00,24.3,92,0.2,51
2015-01-05T01:00,24.1,92,0,1
2015-01-05T02:00,23.8,94,0,1
2015-01-05T03:00,23.7,93,0.2,51
2015-01-05T04:00,23.5,94,0.3,51
2015-01-05T05:00,23.4,96,0.2,51
2015-01-05T06:00,23,97,0.1,51
2015-01-05T07:00,23,96,0,2
2015-01-05T08:00,23.1,97,0,2
2015-01-05T09:00,25.1,89,0,2
2015-01-05T10:00,26.4,82,0,2
2015-01-05T11:00,27.7,75,0,2
2015-01-05T12:00,28.5,71,0,2
2015-01-05T13:00,29.3,67,0,2
2015-01-05T14:00,29.4,68,0.1,51
2015-01-05T15:00,29.5,71,0,1
2015-01-05T16:00,29.3,72,0.2,51
2015-01-05T17:00,28.4,73,0.3,51
2015-01-05T18:00,27.9,76,0,1
2015-01-05T19:00,27.4,80,0,1
2015-01-05T20:00,26.7,83,0.3,51
2015-01-05T21:00,25.9,88,0,1
2015-01-05T22:00,25.4,91,0,1
2015-01-05T23:00,25,94,0,1
2015-01-06T00:00,24.8,94,0,1
2015-01-06T01:00,24.5,95,0,1
2015-01-06T02:00,24.1,97,0,1
2015-01-06T03:00,24,99,0,2
2015-01-06T04:00,23.8,99,0.2,51
2015-01-06T05:00,23.8,99,0.1,51
2015-01-06T06:00,23.8,99,0,2
2015-01-06T07:00,23.6,99,0,1
2015-01-06T08:00,23.9,98,0.1,51
2015-01-06T09:00,25.2,94,0,1
2015-01-06T10:00,26.2,87,0.1,51
2015-01-06T11:00,27.3,83,0.2,51
2015-01-06T12:00,28.2,81,0.2,51
2015-01-06T13:00,29,80,0.3,51
2015-01-06T14:00,27.1,86,1.6,61
2015-01-06T15:00,27.5,86,0.4,51
2015-01-06T16:00,27.4,86,0.3,51
2015-01-06T17:00,27.5,87,0.3,51
2015-01-06T18:00,26,89,2.2,61
2015-01-06T19:00,25.5,91,0.5,53
2015-01-06T20:00,25.1,94,0,2
2015-01-06T21:00,24.8,95,0,1
2015-01-06T22:00,24.4,97,0.2,51
2015-01-06T23:00,24.2,98,0.1,51
2015-01-07T00:00,23.9,98,0.3,51
2015-01-07T01:00,23.8,99,0.1,51
2015-01-07T02:00,23.4,99,0,3
2015-01-07T03:00,23.6,97,0.4,51
2015-01-07T04:00,23.5,97,0.5,53
2015-01-07T05:00,23.4,97,0,3
2015-01-07T06:00,23.2,97,0,2
2015-01-07T07:00,23.1,97,0,2
2015-01-07T08:00,23,98,0,2
2015-01-07T09:00,24.1,96,0,2
2015-01-07T10:00,25.8,89,0,2
2015-01-07T11:00,27.3,85,0.2,51
2015-01-07T12:00,28,85,0.2,51
2015-01-07T13:00,28.6,83,0.2,51
2015-01-07T14:00,28.4,82,0.6,53
2015-01-07T15:00,27.9,84,0,3
2015-01-07T16:00,28,84,0,2
2015-01-07T17:00,27.4,84,0,3
2015-01-07T18:00,27.1,85,0.2,51
2015-01-07T19:00,26.4,86,0.4,51
2015-01-07T20:00,25.5,90,0.9,53
2015-01-07T21:00,25.1,92,0.5,53
2015-01-07T22:00,24.7,95,0.3,51
2015-01-07T23:00,24.3,97,0.7,53
2015-01-08T00:00,24,97,0.3,51
2015-01-08T01:00,23.8,98,0.2,51
2015-01-08T02:00,23.3,99,0.2,51
2015-01-08T03:00,23.6,99,1.2,53
2015-01-08T04:00,23.5,99,1.3,61
2015-01-08T05:00,23.4,99,1.1,53
2015-01-08T06:00,23.4,99,1,53
2015-01-08T07:00,23.5,98,1.3,61
2015-01-08T08:00,23.5,99,0.9,53
2015-01-08T09:00,24.2,96,0.6,53
2015-01-08T10:00,24.9,91,0.2,51
2015-01-08T11:00,25.8,88,0.3,51
2015-01-08T12:00,25.9,88,0.4,51
2015-01-08T13:00,25.8,90,2.3,61
2015-01-08T14:00,25.9,92,1.2,53
2015-01-08T15:00,27,86,0.1,51
2015-01-08T16:00,27.2,86,0.2,51
2015-01-08T17:00,26.1,87,1.6,61
2015-01-08T18:00,25.6,90,2,61
2015-01-08T19:00,25.3,90,1.7,61
2015-01-08T20:00,25,93,1.4,61
2015-01-08T21:00,24.7,94,1.2,53
2015-01-08T22:00,24.4,95,1.8,61
2015-01-08T23:00,24.2,96,1.8,61
2015-01-09T00:00,24.1,97,1.5,61
2015-01-09T01:00,23.8,98,1.4,61
2015-01-09T02:00,23.6,99,1.1,53
2015-01-09T03:00,23.3,99,1.8,61
2015-01-09T04:00,23.2,99,1.5,61
2015-01-09T05:00,23.2,99,1,53
2015-01-09T06:00,23.1,98,0.7,53
2015-01-09T07:00,23,98,1.2,53
2015-01-09T08:00,23,97,1.2,53
2015-01-09T09:00,23.3,96,0.9,53
2015-01-09T10:00,24.1,90,0.6,53
2015-01-09T11:00,24.7,86,0.6,53
2015-01-09T12:00,25.1,84,0.4,51
2015-01-09T13:00,25.1,86,0.6,53
2015-01-09T14:00,25.2,86,0.4,51
2015-01-09T15:00,25.6,82,0.5,53
2015-01-09T16:00,26,80,0.3,51
2015-01-09T17:00,25.9,83,0.2,51
2015-01-09T18:00,25.6,85,0.2,51
2015-01-09T19:00,25.2,89,0,3
2015-01-09T20:00,24.7,93,0,3
2015-01-09T21:00,24.3,94,0,2
2015-01-09T22:00,23.9,96,0,3
2015-01-09T23:00,23.3,98,0,2
2015-01-10T00:00,22.8,99,0,2
2015-01-10T01:00,22.5,100,0,2
2015-01-10T02:00,22.4,99,0,3
2015-01-10T03:00,22.3,99,0,3
2015-01-10T04:00,22.2,99,0,3
2015-01-10T05:00,22,99,0,3
2015-01-10T06:00,21.7,99,0,3
2015-01-10T07:00,21.4,99,0,3
2015-01-10T08:00,21.5,98,0,3
2015-01-10T09:00,23.3,97,0,1
2015-01-10T10:00,25.6,88,0,1
2015-01-10T11:00,27.4,76,0,1
2015-01-10T12:00,28.6,68,0,1
2015-01-10T13:00,29.2,65,0,1
2015-01-10T14:00,29.6,65,0,1
2015-01-10T15:00,29.5,62,0,1
2015-01-10T16:00,29.1,66,0,1
2015-01-10T17:00,28.8,68,0,1
2015-01-10T18:00,28.4,70,0,1
2015-01-10T19:00,27.7,76,0,1
2015-01-10T20:00,26.7,84,0,2
2015-01-10T21:00,26.2,86,0,1
2015-01-10T22:00,25.4,89,0,1
2015-01-10T23:00,24.7,92,0,1
2015-01-11T00:00,24.1,94,0.2,51
2015-01-11T01:00,23.8,95,0.2,51
2015-01-11T02:00,23.4,96,0.1,51
2015-01-11T03:00,23.6,95,0.1,51
2015-01-11T04:00,23.6,95,0,2
2015-01-11T05:00,23.5,96,0,2
2015-01-11T06:00,22.8,98,0,2
2015-01-11T07:00,22.4,99,0,2
2015-01-11T08:00,22.8,98,0,2
2015-01-11T09:00,24.6,93,0,1
2015-01-11T10:00,25.9,85,0,1
2015-01-11T11:00,26.9,82,0,2
2015-01-11T12:00,28,81,0,2
2015-01-11T13:00,28.9,79,0.1,51
2015-01-11T14:00,29.5,75,0.2,51
2015-01-11T15:00,28,78,0.5,53
2015-01-11T16:00,27.5,81,0.5,53
2015-01-11T17:00,27.5,81,0.2,51
2015-01-11T18:00,26.4,83,0.5,53
2015-01-11T19:00,25.7,87,0.4,51
2015-01-11T20:00,25.2,90,0.1,51
2015-01-11T21:00,24.9,91,0,2
2015-01-11T22:00,24.5,93,0,2
2015-01-11T23:00,24.2,94,0,3
2015-01-12T00:00,23.9,95,0,3
2015-01-12T01:00,23.7,95,0.1,51
2015-01-12T02:00,23.6,96,0,2
2015-01-12T03:00,23.8,95,0,2
2015-01-12T04:00,23.7,96,0,2
2015-01-12T05:00,23.6,96,0,2
2015-01-12T06:00,23.4,96,0,1
2015-01-12T07:00,23.2,96,0,1
2015-01-12T08:00,23.4,95,0,1
2015-01-12T09:00,24.6,92,0,1
2015-01-12T10:00,26.3,85,0,1
2015-01-12T11:00,27.6,77,0,1
2015-01-12T12:00,28.7,72,0,0
2015-01-12T13:00,29.6,69,0,0
2015-01-12T14:00,30.1,67,0,1
2015-01-12T15:00,30.5,63,0,1
2015-01-12T16:00,30.5,64,0,2
2015-01-12T17:00,29.5,67,2.6,63
2015-01-12T18:00,28,75,0.5,53
2015-01-12T19:00,27.4,81,0,2
2015-01-12T20:00,26.8,86,0,2
2015-01-12T21:00,26.1,89,0,1
2015-01-12T22:00,25.5,92,0,1
2015-01-12T23:00,25,94,0,1
2015-01-13T00:00,24.7,95,0,1
2015-01-13T01:00,24.4,96,0,1
2015-01-13T02:00,24,96,0.2,51
2015-01-13T03:00,23.9,95,0,1
2015-01-13T04:00,23.7,96,0,1
2015-01-13T05:00,23.5,96,0,0
2015-01-13T06:00,23.1,96,0,1
2015-01-13T07:00,22.9,97,0,0
2015-01-13T08:00,23,96,0,0
2015-01-13T09:00,25,91,0,0
2015-01-13T10:00,26.7,79,0,0
2015-01-13T11:00,27.8,73,0,0
2015-01-13T12:00,28.7,69,0,0
2015-01-13T13:00,29.3,67,0.2,51
2015-01-13T14:00,29.6,66,0,1
2015-01-13T15:00,29.6,64,0,1
2015-01-13T16:00,29.6,64,0,2
2015-01-13T17:00,29.6,63,0,1
2015-01-13T18:00,29.4,64,0,1
2015-01-13T19:00,28.6,71,0,1
2015-01-13T20:00,27.4,77,0,1
2015-01-13T21:00,26.2,84,0,1
2015-01-13T22:00,25.5,85,0,1
2015-01-13T23:00,24.8,87,0,1
2015-01-14T00:00,24.4,88,0,1
2015-01-14T01:00,24.1,88,0,1
2015-01-14T02:00,23.7,89,0,1
2015-01-14T03:00,23.7,87,0,1
2015-01-14T04:00,23.6,87,0,1
2015-01-14T05:00,23.1,89,0,1
2015-01-14T06:00,22.8,90,0,1
2015-01-14T07:00,22.4,92,0,1
